v_hat,omega_hat,gamma_hat
-0.0003279655436455271,-0.1453187323163317,0.23029122538074215
0.00048002557141350893,0.11698324376472978,-0.03434557162367888
0.0012405775975974779,0.24852356714136345,-0.5147542766853312
0.0004996530561067938,0.10469818433577738,-0.022646961430190002
-0.0005121885553997737,-0.09807876078176021,0.18118455944726294
0.0004869120595270617,0.10166921594620264,-0.020153112515954058
0.001254671374146054,0.2542273081388515,-0.5198951151639708
0.00046400395403234287,0.09297271026658371,-0.009352625186292096
-0.00044455150629955166,-0.09385811996328922,0.17698555955322792
0.00042283299041617994,0.09474686923096608,-0.013955216014304411
0.0012300120941062666,0.2629618987435905,-0.5284785806344208
0.00034004978163776437,0.07675486617900475,0.005049074600789738
-0.00034920719732751607,-0.06163764439694891,0.1452555396629868
0.0003342648253957018,0.03614204994494879,0.0452350806982326
0.00032547009402436995,0.006539328663184255,-0.272123408362735
-0.000315505682507041,-0.04166874186686984,0.12318962797267924
0.0003401954780252596,0.07568827074508416,0.00715430058446026
-0.0004194690888889318,-0.09541053093600647,0.1771639576842055
0.0004412790616843988,0.11000846659182652,-0.02721552792548594
0.0011009183123029524,0.24549266332307457,-0.5117989504462113
