Data_5,Data_10,Data_15,Data_20,Data_25,Data_30,Data_37
0.03894614428281784,0.09956648200750352,0.1508004069328308,0.2041730135679245,0.2565722763538361,0.3101477026939392,0.3756983280181885
0.048627201467752464,0.09572075307369232,0.16233448684215546,0.1847262978553772,0.2465293407440185,0.3193145990371704,0.3691003620624542
0.035773053765296936,0.08879449963569641,0.1487724632024765,0.1886287033557892,0.2413997054100037,0.2869448959827423,0.35120195150375366
0.039150401949882514,0.0925268679857254,0.1449759006500244,0.1952030956745148,0.2416359484195709,0.29544031620025635,0.3755052387714386
0.06491896510124208,0.07728348672389984,0.14190666377544406,0.210064098238945,0.25107285380363464,0.3104355037212372,0.3636392056941986
0.0456840842962265,0.09009099006652832,0.15889783203601834,0.19302545487880707,0.25294667482376104,0.2956012785434723,0.37608423829078674
0.05992702394723892,0.11181966960430144,0.15335576236248016,0.20266318321228027,0.2677544057369232,0.3049878180027008,0.36456599831581116
0.04813329502940178,0.1041758954524994,0.13591259717941284,0.21570061147212985,0.2652021050453186,0.3050512969493866,0.3863186240196228
0.04349842295050621,0.09122300148010254,0.1652470976114273,0.21022917330265045,0.27197861671447754,0.3077369630336761,0.3647959232330322
0.0358920581638813,0.1023172363638878,0.1398785263299942,0.2154337912797928,0.2455788403749466,0.3005951941013336,0.36260533332824707
0.04570645466446877,0.0883798822760582,0.15391716361045835,0.18866175413131714,0.25074806809425354,0.29806655645370483,0.3840765953063965
0.055392879992723465,0.09889530390501022,0.15688030421733856,0.1839624047279358,0.24630630016326904,0.3005599081516266,0.3727145791053772
0.05468190461397171,0.09108534455299376,0.14321941137313846,0.2130534201860428,0.24913571774959564,0.29182881116867065,0.38248950242996216
0.0430658869445324,0.089255690574646,0.15772143006324768,0.20347997546195984,0.24986374378204346,0.28814977407455444,0.37497445940971375
0.054184343665838235,0.0974934697151184,0.16192743182182312,0.18650157749652865,0.2524442672729492,0.30113834142684937,0.38423243165016174
0.02653098292648793,0.10498204082250596,0.13418252766132355,0.20271266996860504,0.25627803802490234,0.29126501083374023,0.36677244305610657
0.0402035154402256,0.11966118216514587,0.1402987837791443,0.2174970805644989,0.2398108243942261,0.29813551902771,0.375316321849823
0.035863764584064484,0.10770588368177414,0.16564054787158966,0.18480336666107167,0.26114630699157715,0.29558587074279785,0.3706344962120056
0.05286296829581261,0.10369624942541122,0.16574211418628693,0.20571111142635345,0.2477066665887833,0.293077290058136,0.3631649315357208
0.049524448812007904,0.11315831542015076,0.14708629250526428,0.18518730998039248,0.25144702196121216,0.2946028113365173,0.36506950855255127
