v_hat,omega_hat,gamma_hat
0.0006166856854815902,0.075398402986143,-0.15856435812978534
-0.00045511880755361725,-0.08412660187156326,0.0014210389905227466
-0.0010288577220197664,-0.2415136597755433,0.5083919975415023
-0.00042525847882988115,-0.11260366377059731,0.02989397275458519
0.0004293803220756784,0.11534565608100031,-0.197813809207378
-0.00046968358402660766,-0.131178902385873,0.04846420616962109
-0.0008534222282814141,-0.22291603904106605,0.48937966048029163
-0.0005359226690625962,-0.13466420632490442,0.05323548664549445
0.00047950663278626375,0.10570556138940132,-0.1878184156006268
-0.00048528262176677703,-0.08901417620194876,0.007434209641647732
-0.002670728667751761,-0.28823018566452757,0.5557603716503752
0.00046680535311117196,0.018215906880518235,-0.10008718224333142
-0.00045395582457363536,-0.0016683625744254719,-0.08136830918468725
0.000515444426132996,0.05414918123094817,-0.13606723402260384
-0.0005060467494211783,-0.03141278061362971,0.2971266218389597
0.0005276273519571409,0.07801898494709948,-0.15949566471471366
-0.0005029270104555477,-0.06439660274277315,-0.018366596685442355
0.000496031716574239,0.08570684122580928,-0.16704398363953493
-0.0004984577428568382,-0.08681900006635442,0.004006918357658304
-0.0010576806651621602,-0.24276483735984425,0.5098137070031367
